Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-17,454.1,458.0,449.25,450.35,450.4,1797381.0,8142.84
2016-06-16,457.95,457.95,447.5,453.0,451.9,1530552.0,6901.3
2016-06-15,458.0,461.3,455.3,459.25,457.8,1041386.0,4777.0
2016-06-14,465.1,466.4,452.8,455.15,455.55,1012262.0,4619.37
2016-06-13,453.0,465.0,451.25,462.5,463.75,777891.0,3576.1
2016-06-10,459.0,464.4,457.0,459.0,458.75,838038.0,3866.55
2016-06-09,456.0,464.65,456.0,459.7,461.95,1542812.0,7119.74
2016-06-08,463.0,463.0,452.1,456.3,455.75,712771.0,3244.12
2016-06-07,452.2,466.0,452.2,463.15,462.8,1258062.0,5821.86
2016-06-06,457.0,457.0,451.2,453.1,454.3,1391466.0,6322.54
2016-06-03,457.0,461.8,453.85,455.7,456.55,1085037.0,4973.16
2016-06-02,451.35,458.85,446.55,455.6,456.65,1156365.0,5233.19
2016-06-01,445.7,452.5,442.35,449.65,449.8,872313.0,3909.86
2016-05-31,445.9,448.95,438.55,443.0,443.35,1688323.0,7494.53
2016-05-30,456.5,456.5,441.6,443.3,443.9,1365844.0,6067.01
2016-05-27,445.95,455.0,443.0,452.2,453.4,1674549.0,7570.25
2016-05-26,441.0,446.75,439.6,446.0,444.45,1784352.0,7913.89
2016-05-25,447.5,447.9,439.75,442.0,442.6,784790.0,3469.03
2016-05-24,437.5,440.85,431.35,440.05,439.1,2308055.0,10064.38
2016-05-23,438.0,444.4,434.3,435.85,435.65,2402640.0,10546.61
2016-05-20,436.5,441.2,432.85,436.9,434.4,889187.0,3884.68
2016-05-19,437.95,440.55,430.25,436.9,438.15,2393541.0,10440.07
2016-05-18,444.0,444.0,433.7,435.8,435.75,4031334.0,17662.05
2016-05-17,447.75,453.0,443.35,445.0,445.2,2404883.0,10769.08
2016-05-16,452.0,458.95,445.7,446.5,447.1,3336110.0,15072.6
2016-05-13,447.0,454.15,441.05,449.0,448.85,2003016.0,8990.02
2016-05-12,448.0,450.8,442.05,448.8,447.5,3706501.0,16505.51
2016-05-11,420.0,451.95,419.0,448.25,447.95,11074720.0,48962.07
2016-05-10,421.0,422.0,414.5,418.1,417.6,2321134.0,9703.78
2016-05-09,403.0,422.85,403.0,420.95,420.7,1385009.0,5767.86
2016-05-06,400.0,405.25,397.8,405.0,403.1,873252.0,3508.44
2016-05-05,404.4,404.9,396.3,402.45,400.45,2185694.0,8742.55
2016-05-04,416.7,417.95,402.7,403.2,404.55,1440825.0,5866.67
2016-05-03,415.0,422.9,414.9,419.0,419.75,1808007.0,7583.82
2016-05-02,414.0,417.55,411.25,416.6,416.4,1406101.0,5832.61
2016-04-29,403.2,416.2,402.0,415.0,414.9,1474626.0,6071.01
2016-04-28,409.0,410.25,401.7,404.2,405.0,2736668.0,11119.45
2016-04-27,411.85,416.8,406.25,407.6,407.85,1175412.0,4826.33
2016-04-26,397.3,414.9,397.3,414.2,413.5,2370767.0,9607.46
2016-04-25,401.1,402.9,395.65,399.85,400.7,953370.0,3803.95
2016-04-22,399.3,404.0,398.5,400.9,401.1,1038722.0,4168.4
2016-04-21,401.55,404.2,395.55,398.7,399.3,603318.0,2406.32
2016-04-20,411.75,411.75,398.45,400.15,399.9,2155336.0,8637.27
